4	,668
12	,157
20	,153
28	,156
36	,201
44	,246
52	,329
60	,574
68	,1667
76	,3998
84	,4856
92	,2049
100	,2125
108	,1896
116	,2198
124	,2777
132	,3601
140	,4516
148	,5297
156	,5881
164	,5678
172	,5286
180	,4960
188	,4116
196	,1700
204	,426
212	,25
220	,0
228	,0
236	,0
244	,0
252	,0
